Education_Level,Experience,Projects,Skills,Certifications,Domain,Job Role,Courses,Keywords,Technologies
PhD,5+ years,"Customer Service, Sales Strategy, Operations","Salesforce, Customer Support, Team Management, Accounting, Communication","Salesforce Certified, Customer Service Expert",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Customer Service, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
PhD,3-5 years,"Operations, Sales Strategy","Team Management, Customer Support, Communication",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, Sales Strategy, Communication, Operations, Team Management",
Bachelor,1-3 years,Operations,"Salesforce, Customer Support, Excel",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Operations, Salesforce, Excel, Customer Support","Salesforce, Excel"
Master,0-1 years,"Sales Strategy, Accounting, Operations","Team Management, Salesforce, Customer Support, Excel",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Sales Strategy, Salesforce, Accounting, Excel, Operations, Team Management","Salesforce, Excel"
Bachelor,0-1 years,"Market Research, HR Management","Customer Support, Team Management, Accounting, Communication, Excel","Excel Advanced, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, HR Management, Market Research, Accounting, Excel, Communication, Team Management",Excel
Bachelor,5+ years,Operations,"Accounting, Salesforce, Excel, Team Management",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Salesforce, Accounting, Excel, Operations, Team Management","Salesforce, Excel"
Bachelor,1-3 years,HR Management,"Accounting, Team Management, Communication, Customer Support","Excel Advanced, Customer Service Expert",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, HR Management, Accounting, Communication, Team Management",
Bachelor,5+ years,"Customer Service, Operations, Sales Strategy","Accounting, Communication, Team Management",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Service, Sales Strategy, Accounting, Communication, Operations, Team Management",
PhD,1-3 years,"Operations, Customer Service","Team Management, Excel, Customer Support, Salesforce, Communication","Excel Advanced, Customer Service Expert",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, Salesforce, Excel, Communication, Operations, Team Management","Salesforce, Excel"
Master,5+ years,"Market Research, HR Management, Operations","Customer Support, Salesforce, Accounting, Communication, Team Management",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Customer Support, HR Management, Market Research, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
PhD,1-3 years,Market Research,"Customer Support, Salesforce, Communication, Team Management",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"Customer Support, Market Research, Salesforce, Communication, Team Management",Salesforce
Master,1-3 years,"Market Research, Sales Strategy","Team Management, Customer Support, Communication","Customer Service Expert, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Market Research, Communication, Team Management",
Bachelor,0-1 years,Market Research,"Customer Support, Excel, Salesforce","Salesforce Certified, Excel Advanced",Non-IT,Market Research Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Salesforce, Excel, Market Research","Salesforce, Excel"
Master,1-3 years,Operations,"Accounting, Salesforce, Communication, Excel",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Salesforce, Accounting, Excel, Communication, Operations","Salesforce, Excel"
Master,0-1 years,"Sales Strategy, HR Management","Communication, Team Management, Excel",Excel Advanced,Non-IT,Business Analyst,Advanced Excel Course,"Sales Strategy, HR Management, Excel, Communication, Team Management",Excel
Master,1-3 years,"Operations, HR Management, Market Research","Team Management, Accounting, Communication, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Market Research, HR Management, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
PhD,3-5 years,"Sales Strategy, Accounting","Communication, Team Management, Accounting, Excel","Excel Advanced, Customer Service Expert",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Sales Strategy, Excel, Accounting, Communication, Team Management",Excel
Bachelor,1-3 years,"Accounting, Market Research","Salesforce, Excel, Accounting",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Salesforce, Accounting, Excel, Market Research","Salesforce, Excel"
Master,5+ years,"Sales Strategy, Accounting, Customer Service","Communication, Accounting, Salesforce",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Sales Strategy, Customer Service, Salesforce, Accounting, Communication",Salesforce
Bachelor,3-5 years,"HR Management, Operations","Customer Support, Salesforce, Team Management, Accounting",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, HR Management, Salesforce, Accounting, Operations, Team Management",Salesforce
PhD,5+ years,"Operations, Accounting","Communication, Salesforce, Customer Support, Excel, Accounting",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Salesforce, Accounting, Excel, Communication, Operations","Salesforce, Excel"
PhD,1-3 years,Operations,"Excel, Salesforce, Team Management",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Operations, Salesforce, Excel, Team Management","Salesforce, Excel"
PhD,5+ years,"Customer Service, Operations, Accounting","Communication, Excel, Accounting, Salesforce","Excel Advanced, Customer Service Expert",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Service, Salesforce, Excel, Accounting, Communication, Operations","Salesforce, Excel"
Master,1-3 years,"Sales Strategy, HR Management, Accounting","Customer Support, Salesforce, Team Management","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, HR Management, Salesforce, Accounting, Team Management",Salesforce
Master,3-5 years,"Market Research, Customer Service, HR Management","Accounting, Team Management, Salesforce","Excel Advanced, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Service, HR Management, Market Research, Salesforce, Accounting, Team Management",Salesforce
Master,0-1 years,"Sales Strategy, Customer Service, Market Research","Accounting, Communication, Excel, Salesforce, Team Management",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Sales Strategy, Customer Service, Market Research, Salesforce, Accounting, Excel, Communication, Team Management","Salesforce, Excel"
Master,3-5 years,"Market Research, Operations, Sales Strategy","Excel, Customer Support, Communication, Accounting, Salesforce",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Customer Support, Sales Strategy, Market Research, Salesforce, Excel, Accounting, Communication, Operations","Salesforce, Excel"
Master,5+ years,"Customer Service, Market Research, HR Management","Communication, Team Management, Accounting, Salesforce, Excel","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Service, HR Management, Market Research, Salesforce, Accounting, Excel, Communication, Team Management","Salesforce, Excel"
Master,0-1 years,"HR Management, Operations, Sales Strategy","Customer Support, Team Management, Excel, Accounting, Communication",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, Sales Strategy, HR Management, Excel, Accounting, Communication, Operations, Team Management",Excel
Master,3-5 years,"Accounting, Market Research, Operations","Excel, Team Management, Communication","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Market Research, Excel, Accounting, Communication, Operations, Team Management",Excel
PhD,5+ years,"Operations, HR Management, Customer Service","Customer Support, Communication, Salesforce, Excel, Accounting","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, HR Management, Salesforce, Excel, Accounting, Communication, Operations","Salesforce, Excel"
Master,0-1 years,"Accounting, Sales Strategy","Team Management, Excel, Communication","Excel Advanced, Customer Service Expert",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Sales Strategy, Excel, Accounting, Communication, Team Management",Excel
Bachelor,1-3 years,Customer Service,"Communication, Salesforce, Accounting, Customer Support","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, Salesforce, Accounting, Communication",Salesforce
Master,3-5 years,"Customer Service, Market Research","Customer Support, Communication, Salesforce, Accounting","Excel Advanced, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Support, Customer Service, Market Research, Salesforce, Accounting, Communication",Salesforce
PhD,3-5 years,Customer Service,"Communication, Accounting, Team Management, Excel, Customer Support",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Support, Customer Service, Excel, Accounting, Communication, Team Management",Excel
Bachelor,3-5 years,Sales Strategy,"Salesforce, Accounting, Communication",Salesforce Certified,Non-IT,Business Analyst,Salesforce Training,"Salesforce, Sales Strategy, Accounting, Communication",Salesforce
Master,1-3 years,"Market Research, Sales Strategy","Communication, Team Management, Customer Support, Accounting, Excel",Excel Advanced,Non-IT,Market Research Analyst,Advanced Excel Course,"Customer Support, Sales Strategy, Market Research, Accounting, Excel, Communication, Team Management",Excel
